Algorithm,Solution Cost,Solution Length,Expanded Nodes,Size,Time
eGFBS,150,151,465,80,0.046022892
,,,,,
GBFS,208,209,354,10,0.007954359
,,,,,
eGFBS,228,229,636,10,0.077095747
,,,,,
eGFBS,228,217,666,10,0.075825691
,,,,,
eGFBS,226,221,642,10,0.087701082
,,,,,
eGFBS,228,223,721,10,0.070760965
,,,,,
eGFBS,228,223,672,10,0.135525703
,,,,,
eGFBS,216,217,646,10,0.142514229
,,,,,
eGFBS,224,219,684,10,0.154494286
,,,,,
eGFBS,234,235,650,10,0.095448256
,,,,,
eGFBS,214,209,587,10,0.066850662
,,,,,
eGFBS,220,215,539,10,0.043932438
,,,,,
IDS,452,453,1192504,10,85.12617207
,,,,,
GBFS,190,185,370,10,0.008970976
,,,,,
eGFBS,176,177,518,10,0.050923824
,,,,,
eGFBS,180,181,436,10,0.032884836
,,,,,
eGFBS,178,179,624,10,0.075742483
,,,,,
eGFBS,172,173,410,10,0.035875082
,,,,,
eGFBS,170,171,415,10,0.060801029
,,,,,
eGFBS,188,177,546,10,0.137897491
,,,,,
eGFBS,172,173,516,10,0.103651047
,,,,,
eGFBS,180,181,385,10,0.065048695
,,,,,
eGFBS,170,171,462,10,0.10464716
,,,,,
eGFBS,174,175,502,10,0.100192308
,,,,,
IDS,332,321,554049,10,14.1193018
,,,,,
GBFS,214,203,387,88,0.011050701
,,,,,
eGFBS,190,185,510,88,0.06991601
,,,,,
eGFBS,190,185,474,88,0.088213444
,,,,,
eGFBS,212,201,565,88,0.063836336
,,,,,
eGFBS,204,193,458,88,0.08442831
,,,,,
eGFBS,190,185,485,88,0.096735239
,,,,,
eGFBS,190,185,508,88,0.111155748
,,,,,
eGFBS,188,183,493,88,0.066239119
,,,,,
eGFBS,202,191,486,88,0.053823709
,,,,,
eGFBS,196,191,494,88,0.057803631
,,,,,
eGFBS,192,187,442,88,0.05597353
,,,,,
GBFS,208,209,312,96,0.006973028
,,,,,
eGFBS,210,211,552,96,0.071807623
,,,,,
eGFBS,208,209,505,96,0.113003731
,,,,,
eGFBS,208,209,503,96,0.108683586
,,,,,
eGFBS,248,249,680,96,0.152017117
,,,,,
eGFBS,210,211,588,96,0.154424429
,,,,,
eGFBS,210,211,524,96,0.119453192
,,,,,
eGFBS,236,237,646,96,0.180431843
,,,,,
eGFBS,224,225,538,96,0.06468153
,,,,,
eGFBS,206,207,493,96,0.119077444
,,,,,
eGFBS,258,253,758,96,0.236706734
,,,,,
GBFS,252,247,516,104,0.004908562
,,,,,
eGFBS,236,237,860,104,0.046844006
,,,,,
eGFBS,254,249,697,104,0.030896187
,,,,,
eGFBS,260,255,678,104,0.035880566
,,,,,
eGFBS,250,245,773,104,0.036947966
,,,,,
eGFBS,254,249,686,104,0.031893492
,,,,,
eGFBS,240,241,770,104,0.034878254
,,,,,
eGFBS,220,221,580,104,0.028902292
,,,,,
eGFBS,258,253,796,104,0.041932106
,,,,,
eGFBS,216,217,646,104,0.026917696
,,,,,
eGFBS,216,217,623,104,0.025826693
,,,,,
IDS,426,427,988028,104,19.40677857
,,,,,
GBFS,212,207,380,110,0.003985882
,,,,,
eGFBS,230,225,582,110,0.04484868
,,,,,
eGFBS,202,197,639,110,0.048892736
,,,,,
eGFBS,210,205,629,110,0.044804096
,,,,,
eGFBS,220,215,606,110,0.034972906
,,,,,
eGFBS,196,191,483,110,0.025997877
,,,,,
eGFBS,198,193,519,110,0.030869484
,,,,,
eGFBS,204,199,517,110,0.029963255
,,,,,
eGFBS,198,193,571,110,0.038922548
,,,,,
eGFBS,202,197,490,110,0.033048391
,,,,,
eGFBS,202,197,535,110,0.032552004
,,,,,
IDS,538,533,1475820,110,61.59609413
,,,,,
GBFS,214,215,310,10,0.005979538
,,,,,
eGFBS,218,219,506,10,0.040863276
,,,,,
eGFBS,218,219,488,10,0.036875725
,,,,,
eGFBS,218,219,479,10,0.043851376
,,,,,
eGFBS,220,221,573,10,0.054520845
,,,,,
eGFBS,220,221,552,10,0.053486109
,,,,,
eGFBS,214,215,539,10,0.061790705
,,,,,
eGFBS,216,217,549,10,0.062785149
,,,,,
eGFBS,224,225,519,10,0.054954767
,,,,,
eGFBS,214,215,501,10,0.042019606
,,,,,
eGFBS,218,219,463,10,0.047124624
,,,,,
IDS,608,609,1915825,10,123.9273169
,,,,,
GBFS,240,229,333,118,0.013046265
,,,,,
eGFBS,228,223,567,118,0.055220604
,,,,,
eGFBS,264,259,731,118,0.116031647
,,,,,
eGFBS,230,225,536,118,0.052896023
,,,,,
eGFBS,232,227,550,118,0.079060316
,,,,,
eGFBS,232,227,571,118,0.052159309
,,,,,
eGFBS,230,225,560,118,0.053819895
,,,,,
eGFBS,236,225,567,118,0.099691629
,,,,,
eGFBS,232,227,622,118,0.127091885
,,,,,
eGFBS,222,217,540,118,0.100672245
,,,,,
eGFBS,232,227,578,118,0.083720207
,,,,,
GBFS,256,257,540,118,0.013950825
,,,,,
eGFBS,284,285,1033,118,0.1804142
,,,,,
eGFBS,264,259,756,118,0.094781876
,,,,,
eGFBS,240,241,982,118,0.146562099
,,,,,
eGFBS,274,275,941,118,0.11561203
,,,,,
eGFBS,274,275,1014,118,0.141608953
,,,,,
IDS,314,315,752753,118,32.1434474
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
GBFS,256,257,370,126,0.006976843
,,,,,
eGFBS,270,271,652,126,0.058807611
,,,,,
eGFBS,268,269,770,126,0.076152086
,,,,,
eGFBS,264,265,592,126,0.050167799
,,,,,
eGFBS,260,261,640,126,0.059996367
,,,,,
eGFBS,258,259,614,126,0.064857721
,,,,,
eGFBS,258,259,626,126,0.082182646
,,,,,
eGFBS,246,247,925,126,0.148553848
,,,,,
eGFBS,258,259,710,126,0.082786798
,,,,,
eGFBS,260,261,730,126,0.079259872
,,,,,
eGFBS,258,259,629,126,0.060792685
,,,,,
IDS,722,705,2542027,126,158.2700078
