Algorithm,Solution Cost,Solution Length,Expanded Nodes,Size,Time,epsilon
eGFBS,228,229,348,104,0.01319313,0.2
,,,,,,
eGFBS,228,229,375,104,0.020035505,0.3
,,,,,,
eGFBS,226,227,400,104,0.0279634,0.4
,,,,,,
eGFBS,250,245,930,104,0.151208401,0.5
,,,,,,
eGFBS,228,229,470,104,0.052961826,0.6
,,,,,,
eGFBS,246,241,1030,104,0.308523655,0.7
,,,,,,
eGFBS,246,235,1107,104,0.813769102,0.8
,,,,,,
eGFBS,228,229,328,104,0.019001722,0.1
,,,,,,
eGFBS,228,229,347,104,0.024919271,0.2
,,,,,,
eGFBS,234,223,435,104,0.04293704,0.3
,,,,,,
eGFBS,228,229,371,104,0.038775444,0.4
,,,,,,
eGFBS,226,227,417,104,0.055029392,0.5
,,,,,,
eGFBS,248,243,948,104,0.263645887,0.6
,,,,,,
eGFBS,226,227,537,104,0.126288414,0.7
,,,,,,
eGFBS,240,235,1102,104,0.833002329,0.8
,,,,,,
eGFBS,228,229,316,104,0.010959148,0.1
,,,,,,
eGFBS,228,229,340,104,0.01295042,0.2
,,,,,,
eGFBS,228,229,367,104,0.033962727,0.3
,,,,,,
eGFBS,248,243,893,104,0.20965004,0.4
,,,,,,
eGFBS,228,229,430,104,0.042509317,0.5
,,,,,,
eGFBS,244,239,979,104,0.317444801,0.6
,,,,,,
eGFBS,248,243,1036,104,0.521960974,0.7
,,,,,,
eGFBS,238,233,1054,104,0.657788038,0.8
,,,,,,
eGFBS,228,229,329,104,0.018104792,0.1
,,,,,,
eGFBS,228,229,344,104,0.025390387,0.2
,,,,,,
eGFBS,228,229,375,104,0.019053221,0.3
,,,,,,
eGFBS,232,227,485,104,0.047958136,0.4
,,,,,,
eGFBS,228,229,430,104,0.031086683,0.5
,,,,,,
eGFBS,228,229,541,104,0.064166546,0.6
,,,,,,
eGFBS,240,235,977,104,0.307506084,0.7
,,,,,,
eGFBS,238,233,1345,104,0.767375708,0.8
,,,,,,
eGFBS,228,229,334,104,0.011957645,0.1
,,,,,,
eGFBS,228,229,348,104,0.013952017,0.2
,,,,,,
eGFBS,234,223,441,104,0.026907921,0.3
,,,,,,
eGFBS,226,227,390,104,0.021456718,0.4
,,,,,,
eGFBS,238,233,859,104,0.158939362,0.5
,,,,,,
eGFBS,248,243,923,104,0.161258221,0.6
,,,,,,
eGFBS,236,231,1068,104,0.342542171,0.7
,,,,,,
eGFBS,254,249,1263,104,0.687966824,0.8
